iter	Passed	Remaining
558	2518	1986
559	2521	1981
560	2524	1975
561	2528	1970
562	2532	1965
563	2536	1960
564	2541	1956
565	2545	1952
566	2549	1947
567	2553	1941
568	2556	1936
569	2566	1936
570	2570	1930
571	2574	1926
572	2577	1920
573	2580	1915
574	2588	1913
575	2592	1908
576	2596	1903
577	2599	1898
578	2603	1893
579	2608	1888
580	2612	1883
581	2616	1878
582	2619	1873
583	2623	1869
584	2633	1867
585	2636	1862
586	2639	1857
587	2643	1852
588	2647	1847
589	2650	1841
590	2654	1836
591	2657	1831
592	2661	1826
593	2665	1821
594	2668	1816
595	2672	1811
596	2675	1806
597	2679	1800
598	2682	1795
599	2686	1790
600	2689	1785
601	2692	1780
602	2696	1775
603	2699	1769
604	2702	1764
605	2707	1760
606	2710	1754
607	2714	1749
608	2717	1744
609	2720	1739
610	2724	1734
611	2728	1729
612	2731	1724
613	2734	1719
614	2738	1714
615	2743	1710
616	2746	1704
617	2750	1699
618	2754	1695
619	2758	1690
620	2761	1685
621	2766	1681
622	2771	1676
623	2776	1673
624	2782	1669
625	2788	1665
626	2791	1660
627	2796	1656
628	2800	1651
629	2803	1646
630	2808	1642
631	2816	1640
632	2829	1640
633	2840	1639
634	2845	1635
635	2849	1630
636	2854	1626
637	2858	1622
638	2862	1617
639	2865	1611
640	2869	1607
641	2872	1601
642	2875	1596
643	2879	1591
644	2882	1586
645	2886	1581
646	2889	1576
647	2893	1571
648	2896	1566
649	2899	1561
650	2902	1556
651	2906	1551
652	2909	1546
653	2913	1541
654	2916	1536
655	2920	1531
656	2923	1526
657	2927	1521
658	2930	1516
659	2933	1511
660	2937	1506
661	2942	1502
662	2945	1497
663	2949	1492
664	2954	1488
665	2958	1483
666	2961	1478
667	2965	1473
668	2968	1468
669	2974	1464
670	2979	1460
671	2983	1456
672	2986	1451
673	2989	1445
674	2992	1441
675	2996	1436
676	2999	1431
677	3003	1426
678	3006	1421
679	3009	1416
680	3013	1411
681	3016	1406
682	3019	1401
683	3024	1397
684	3028	1392
685	3031	1387
686	3035	1382
687	3038	1378
688	3043	1373
689	3047	1369
690	3054	1366
691	3060	1361
692	3063	1357
693	3067	1352
694	3070	1347
695	3073	1342
696	3077	1337
697	3080	1332
698	3083	1327
699	3087	1323
700	3091	1318
701	3094	1313
702	3097	1308
703	3101	1303
704	3104	1299
705	3107	1294
706	3111	1289
707	3114	1284
708	3118	1279
709	3121	1275
710	3125	1270
711	3128	1265
712	3133	1261
713	3137	1256
714	3140	1251
715	3144	1247
716	3149	1243
717	3152	1238
718	3156	1233
719	3159	1228
720	3162	1223
721	3166	1219
722	3173	1215
723	3176	1211
724	3180	1206
725	3183	1201
726	3187	1196
727	3190	1192
728	3195	1187
729	3200	1183
730	3205	1179
731	3209	1174
732	3214	1170
733	3218	1166
734	3221	1161
735	3226	1157
736	3231	1153
737	3235	1148
738	3239	1144
739	3242	1139
740	3246	1134
741	3251	1130
742	3258	1127
743	3266	1123
744	3276	1121
745	3281	1117
746	3290	1114
747	3299	1111
748	3306	1108
749	3318	1106
750	3331	1104
751	3340	1101
752	3344	1097
753	3348	1092
754	3352	1087
755	3355	1083
756	3359	1078
757	3362	1073
758	3366	1069
759	3372	1064
760	3375	1060
761	3379	1055
762	3382	1050
763	3386	1046
764	3389	1041
765	3394	1037
766	3398	1032
767	3401	1027
768	3405	1022
769	3408	1018
770	3412	1013
771	3415	1008
772	3419	1004
773	3422	999
774	3426	994
775	3430	990
776	3434	985
777	3438	981
778	3441	976
779	3450	973
780	3454	968
781	3463	965
782	3467	960
783	3470	956
784	3474	951
785	3478	946
786	3481	942
787	3484	937
788	3488	932
789	3491	928
790	3494	923
791	3498	918
792	3501	914
793	3506	909
794	3510	905
795	3513	900
796	3517	895
797	3520	891
798	3524	886
799	3528	882
800	3534	878
801	3539	873
802	3544	869
803	3547	864
804	3551	860
805	3554	855
806	3558	850
807	3561	846
808	3567	842
809	3571	837
810	3575	833
811	3578	828
812	3581	823
813	3585	819
814	3590	814
815	3593	810
816	3598	805
817	3607	802
818	3611	798
819	3614	793
820	3618	788
821	3621	784
822	3624	779
823	3628	774
824	3632	770
825	3635	765
826	3639	761
827	3642	756
828	3646	752
829	3649	747
830	3653	743
831	3656	738
832	3660	733
833	3663	729
834	3667	724
835	3670	720
836	3674	715
837	3677	710
838	3680	706
839	3684	701
840	3694	698
841	3705	695
842	3710	691
843	3714	686
844	3719	682
845	3723	677
846	3727	673
847	3731	668
848	3734	664
849	3739	659
850	3743	655
851	3747	650
852	3750	646
853	3754	641
854	3759	637
855	3767	633
856	3770	629
857	3774	624
858	3779	620
859	3782	615
860	3785	611
861	3789	606
862	3792	602
863	3796	597
864	3800	593
865	3803	588
866	3807	584
867	3810	579
868	3814	574
869	3817	570
870	3821	565
871	3824	561
872	3827	556
873	3831	552
874	3834	547
875	3837	543
876	3841	538
877	3844	534
878	3848	529
879	3851	525
880	3855	520
881	3858	516
882	3862	511
883	3865	507
884	3868	502
885	3872	498
886	3875	493
887	3878	489
888	3882	484
889	3886	480
890	3889	475
891	3893	471
892	3896	466
893	3899	462
894	3903	457
895	3907	453
896	3910	449
897	3914	444
898	3918	440
899	3923	435
900	3926	431
901	3930	427
902	3935	422
903	3939	418
904	3942	413
905	3946	409
906	3949	404
907	3952	400
908	3956	396
909	3963	391
910	3967	387
911	3971	383
912	3974	378
913	3979	374
914	3983	370
915	3987	365
916	3992	361
917	3995	356
918	3999	352
919	4003	348
920	4010	344
921	4018	339
922	4028	336
923	4039	332
924	4049	328
925	4057	324
926	4065	320
927	4071	315
928	4077	311
929	4083	307
930	4087	302
931	4091	298
932	4094	294
933	4098	289
934	4101	285
935	4104	280
936	4108	276
937	4111	271
938	4114	267
939	4118	262
940	4122	258
941	4126	254
942	4130	249
943	4134	245
944	4137	240
945	4141	236
946	4144	231
947	4147	227
948	4154	223
949	4164	219
950	4173	215
951	4183	210
952	4192	206
953	4198	202
954	4207	198
955	4213	193
956	4216	189
957	4220	185
958	4223	180
959	4227	176
960	4230	171
961	4234	167
962	4237	162
963	4240	158
964	4244	153
965	4247	149
966	4251	145
967	4255	140
968	4258	136
969	4262	131
970	4265	127
971	4269	122
972	4274	118
973	4277	114
974	4281	109
975	4284	105
976	4288	100
977	4291	96
978	4295	92
979	4302	87
980	4305	83
981	4310	79
982	4314	74
983	4317	70
984	4321	65
985	4325	61
986	4329	57
987	4333	52
988	4336	48
989	4340	43
990	4343	39
991	4347	35
992	4352	30
993	4357	26
994	4361	21
995	4364	17
996	4368	13
997	4372	8
998	4376	4
999	4379	0
